Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoff MVP Eligibility,Tot_OFF,Tot_DEF
C,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7.0,0.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,30.0,Yes,43.0,12.1
SF,20,40.0,9.3,20.2,0.458,2.7,8.2,0.323,6.6,12.0,0.55,0.524,6.0,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2,Yes,33.8,11.399999999999999
PF,22,39.7,9.4,20.1,0.468,1.3,3.5,0.359,8.1,16.5,0.492,0.5,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,Yes,34.9,6.699999999999999
PG,20,40.0,9.7,20.5,0.473,3.0,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,Yes,34.0,6.7
PF,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,Yes,32.6,10.5
SF,20,37.6,9.1,18.3,0.496,2.0,5.7,0.354,7.1,12.6,0.56,0.551,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,Yes,27.4,5.9
C,16,38.0,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,Yes,27.6,16.2
C,23,37.0,7.3,15.1,0.481,0.0,0.1,0.0,7.3,15.0,0.485,0.481,3.4,4.1,0.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,Yes,24.299999999999997,8.7
SG,16,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,Yes,22.8,4.0
PG,20,34.0,5.1,11.2,0.453,2.2,6.1,0.361,2.9,5.1,0.564,0.552,2.6,3.3,0.8,1.1,3.0,4.0,5.1,1.3,0.3,2.3,1.9,14.9,Yes,21.1,4.6
